month,trust,region,total_attendances,type1_attendances,total_over_4hrs,type1_over_4hrs,breaches_4_to_12hr,breaches_12hr_plus
2025-06,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,28261,18581,8586,8586,1059,709
2025-06,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS ENGLAND MIDLANDS,23938,21814,9378,9128,1207,569
2025-06,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,12251,9300,3302,3208,622,264
2025-06,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS ENGLAND MIDLANDS,23320,14177,7487,7382,1032,942
2025-06,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,NHS ENGLAND SOUTH WEST,15072,9169,4669,4584,477,658
2025-06,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,29982,26467,9625,9334,663,514
2025-06,URGENT CARE CENTRE (QMS),NHS ENGLAND LONDON,8011,0,131,0,0,0
2025-06,WALSALL HEALTHCARE NHS TRUST,NHS ENGLAND MIDLANDS,13799,9482,2968,2895,922,55
2025-06,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,9996,6822,3542,3501,654,854
2025-06,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND EAST OF ENGLAND,15997,8116,2413,2374,654,21
2025-06,WEST SUFFOLK NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,8725,8040,2548,2548,505,240
2025-06,WHITSTABLE MEDICAL PRACTICE,NHS ENGLAND SOUTH EAST,4942,0,0,0,0,0
2025-06,WHITTINGTON HEALTH NHS TRUST,NHS ENGLAND LONDON,9127,9127,2445,2445,234,140
2025-06,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,4352,0,273,0,0,0
2025-06,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,10861,7932,4235,4151,508,816
2025-06,WOKING WALK IN CENTRE,NHS ENGLAND SOUTH EAST,2655,0,195,0,0,0
2025-06,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,20338,13862,6898,6811,684,795
2025-06,WORKINGTON HEALTH LIMITED,NHS ENGLAND NORTH EAST AND YORKSHIRE,401,0,0,0,0,0
2025-06,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NHS ENGLAND NORTH WEST,12586,7384,3570,3512,626,356
2025-06,WYE VALLEY NHS TRUST,NHS ENGLAND MIDLANDS,7350,6098,2576,2576,411,234
2025-06,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,18780,10773,5748,5365,750,377
2025-07,AIREDALE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,6541,6345,1943,1943,270,70
2025-07,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,5409,5409,829,829,1,0
2025-07,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,10480,7470,3523,3498,478,133
2025-07,ASHFORD WALK-IN-CENTRE,NHS ENGLAND SOUTH EAST,2286,0,267,0,0,0
2025-07,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),NHS ENGLAND MIDLANDS,2863,0,0,0,0,0
2025-07,BADGER LTD,NHS ENGLAND MIDLANDS,0,0,0,0,0,0
2025-07,BARKING HOSPITAL UTC,NHS ENGLAND LONDON,2824,0,11,0,0,0
2025-07,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NHS ENGLAND LONDON,30627,13723,6147,5570,604,612
2025-07,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,9328,9328,2593,2593,401,0
2025-07,BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,45493,25710,12107,10667,1147,832
2025-07,BECKENHAM BEACON UCC,NHS ENGLAND LONDON,3584,0,86,0,0,0
2025-07,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,25583,17502,7110,7110,80,0
2025-07,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,1639,0,14,0,0,0
2025-07,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,4358,4358,565,565,6,0
2025-07,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,19406,9042,4382,4286,781,340
2025-07,BOLTON NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,12264,8149,4313,4000,546,261
2025-07,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,14280,9650,2298,2298,679,51
2025-07,BRANSHOLME HEALTH CENTRE,NHS ENGLAND NORTH EAST AND YORKSHIRE,3787,0,388,0,0,0
2025-07,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,3110,0,61,0,0,0
2025-07,BRIDLINGTON HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,1764,0,87,0,0,0
2025-07,BRIGHTON STATION HEALTH CENTRE,NHS ENGLAND SOUTH EAST,2044,0,0,0,0,0
2025-07,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST,15781,11214,3435,3369,221,309
2025-07,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,16778,16778,2485,2485,591,7
2025-07,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,17107,11115,4516,4435,571,389
2025-07,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,12770,0,241,0,0,0
2025-07,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,26026,19829,5573,5501,740,65
2025-07,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,12411,6557,3292,3024,573,100
2025-07,CHIPPENHAM COMMUNITY HOSPITAL,NHS ENGLAND SOUTH WEST,1948,0,27,0,0,0
2025-07,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,0,0,0,0,0,0
2025-07,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,7963,5487,3029,2799,546,503
2025-07,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,17487,13216,4756,4756,1780,13
2025-07,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,NHS ENGLAND MIDLANDS,0,0,0,0,0,0
2025-07,CROYDON HEALTH SERVICES NHS TRUST,NHS ENGLAND LONDON,17919,13093,4548,4548,241,715
2025-07,DARTFORD AND GRAVESHAM NHS TRUST,NHS ENGLAND SOUTH EAST,15476,11347,2766,2752,711,72
2025-07,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,8229,0,274,0,0,0
2025-07,DHU HEALTH CARE C.I.C,NHS ENGLAND MIDLANDS,1872,0,0,0,0,0
2025-07,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,18807,14653,4917,4873,1171,55
2025-07,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,4999,4999,1353,1353,196,38
2025-07,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,0,0,0,0,0,0
2025-07,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NHS ENGLAND EAST OF ENGLAND,17204,8871,3927,3878,124,21
2025-07,EAST BERKS PRIMARY CARE OOH(WAM),NHS ENGLAND SOUTH EAST,0,0,0,0,0,0
2025-07,EAST CHESHIRE NHS TRUST,NHS ENGLAND NORTH WEST,4616,4616,2765,2765,238,271
2025-07,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,26289,12834,6170,5749,466,1195
2025-07,EAST LANCASHIRE HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST,26164,14245,5417,4842,712,708
2025-07,EAST RIDING COMMUNITY HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,2950,0,266,0,0,0
2025-07,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,26617,12692,6657,6173,951,354
2025-07,EAST SUSSEX HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST,11871,8988,3787,3736,177,5
2025-07,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND LONDON,13182,10765,3436,3133,500,1023
2025-07,ERDINGTON GP HEALTH & WELLBEING WIC,NHS ENGLAND MIDLANDS,0,0,0,0,0,0
2025-07,FAVERSHAM MEDICAL PRACTICE MIU,NHS ENGLAND SOUTH EAST,2894,0,0,0,0,0
2025-07,FIRST COMMUNITY HEALTH AND CARE CIC,NHS ENGLAND SOUTH EAST,2634,0,0,0,0,0
2025-07,FRIMLEY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,37388,23429,9850,9427,1553,263
2025-07,GATESHEAD HEALTH NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,10368,6240,1838,1801,250,1
2025-07,GEORGE ELIOT HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS,8472,6803,2027,2007,412,255
2025-07,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,8928,0,140,0,0,0
2025-07,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,13854,13382,5287,5280,470,202
2025-07,GOOLE & DISTRICT HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,1690,0,14,0,0,0
2025-07,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,11626,5851,3594,2880,780,148
2025-07,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ENGLAND LONDON,17951,10683,3928,3648,90,84
2025-07,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,3080,0,81,0,0,0
2025-07,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,14703,11043,4764,4651,122,33
2025-07,HAROLD WOOD POLYCLINIC UTC,NHS ENGLAND LONDON,2607,0,10,0,0,0
2025-07,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,6626,5442,1319,1319,103,0
2025-07,HERNE BAY HEALTH CARE LTD,NHS ENGLAND SOUTH EAST,2265,0,0,0,0,0
2025-07,HERTFORDSHIRE COMMUNITY NHS TRUST,NHS ENGLAND EAST OF ENGLAND,1310,0,79,0,0,0
2025-07,HERTS URGENT CARE (ASCOTS LANE),NHS ENGLAND EAST OF ENGLAND,2484,0,131,0,0,0
2025-07,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND LONDON,11437,11437,2156,2156,155,12
2025-07,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,14551,10050,5985,5620,1063,385
2025-07,HUMBER TEACHING NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,1281,0,7,0,0,0
2025-07,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,24324,12478,5656,5204,642,0
2025-07,ISLE OF WIGHT NHS TRUST,NHS ENGLAND SOUTH EAST,6679,4556,1902,1769,218,83
2025-07,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,9457,8023,2911,2911,493,209
2025-07,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,6715,0,17,0,0,0
2025-07,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,18445,10198,3838,3751,562,785
2025-07,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,25359,15793,7223,6564,1593,556
2025-07,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,NHS ENGLAND LONDON,15407,7047,3886,3556,343,362
2025-07,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,15841,12245,4528,4465,860,423
2025-07,LATHAM HOUSE MEDICAL PRACTICE,NHS ENGLAND MIDLANDS,436,0,0,0,0,0
2025-07,LEEDS TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,30111,17642,6364,6257,1485,135
2025-07,LEWISHAM AND GREENWICH NHS TRUST,NHS ENGLAND LONDON,25789,15998,7783,7494,1163,628
2025-07,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,NHS ENGLAND MIDLANDS,9119,0,297,0,0,0
2025-07,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,0,0,0,0,0,0
2025-07,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,26525,16589,8596,8406,2027,902
2025-07,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,1572,0,179,0,0,0
2025-07,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,NHS ENGLAND MIDLANDS,338,0,1,0,0,0
2025-07,LOCAL CARE DIRECT,NHS ENGLAND NORTH EAST AND YORKSHIRE,2191,0,9,0,0,0
2025-07,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,30213,13960,6602,6255,415,184
2025-07,LOUGHBOROUGH URGENT CARE CENTRE,NHS ENGLAND MIDLANDS,4934,0,12,0,0,0
2025-07,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NHS ENGLAND SOUTH EAST,20124,17753,3435,3414,839,62
2025-07,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,40948,26185,10503,10020,2491,101
2025-07,MARKET HARBOROUGH,NHS ENGLAND MIDLANDS,84,0,0,0,0,0
2025-07,MARKET HARBOROUGH MED.CTR,NHS ENGLAND MIDLANDS,332,0,0,0,0,0
2025-07,MEDWAY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,16677,9910,4225,3447,396,614
2025-07,MELTON MOWBRAY,NHS ENGLAND MIDLANDS,45,0,0,0,0,0
2025-07,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST,25610,18132,6810,6769,671,187
2025-07,MERSEY CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,13566,0,192,0,0,0
2025-07,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,35683,31246,8339,8222,2144,265
2025-07,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,10399,7408,4640,4574,492,489
2025-07,MID YORKSHIRE TEACHING NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,23959,17158,6040,5861,1470,11
2025-07,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,13773,8557,3044,3003,439,0
2025-07,MIRIAM MINOR EMERGENCY,NHS ENGLAND NORTH WEST,1615,0,0,0,0,0
2025-07,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,6123,0,189,0,0,0
2025-07,NEMS CBS (UTC),NHS ENGLAND MIDLANDS,4053,0,866,0,0,0
2025-07,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,21073,13321,3530,3530,794,149
2025-07,NORTH BRISTOL NHS TRUST,NHS ENGLAND SOUTH WEST,9515,9515,3455,3455,520,220
2025-07,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,11548,9153,3964,3915,623,275
2025-07,NORTH EAST LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,1907,0,83,0,0,0
2025-07,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,16291,4933,2586,2576,122,4
2025-07,NORTH WEST ANGLIA NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,19970,14985,4969,4869,567,672
2025-07,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS,13176,10692,5423,5098,647,638
2025-07,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,37373,27074,10447,10011,1081,933
2025-07,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,17023,9489,4468,4396,760,635
2025-07,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,24431,10411,1981,1977,9,0
2025-07,NOTTINGHAM CITYCARE PARTNERSHIP,NHS ENGLAND MIDLANDS,4988,0,440,0,0,0
2025-07,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,15450,13245,7097,6980,267,467
2025-07,OADBY,NHS ENGLAND MIDLANDS,493,0,0,0,0,0
2025-07,OAKHAM,NHS ENGLAND MIDLANDS,46,0,0,0,0,0
2025-07,OKEHAMPTON MEDICAL CENTRE,NHS ENGLAND SOUTH WEST,119,0,0,0,0,0
2025-07,OXFORD HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,4488,0,143,0,0,0
2025-07,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,18438,12744,3342,3275,510,0
2025-07,PAULTON MEMORIAL HOSPITAL,NHS ENGLAND SOUTH WEST,1249,0,2,0,0,0
2025-07,PHL LYMINGTON UTC,NHS ENGLAND SOUTH EAST,3611,0,72,0,0,0
2025-07,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,NHS ENGLAND SOUTH EAST,15033,10606,3805,3774,796,979
2025-07,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,NHS ENGLAND SOUTH EAST,5273,0,91,0,0,0
2025-07,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,NHS ENGLAND SOUTH EAST,5337,0,279,0,0,0
2025-07,PUTNOE WALK IN CENTRE,NHS ENGLAND EAST OF ENGLAND,2236,0,0,0,0,0
2025-07,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,1603,0,30,0,0,0
2025-07,ROSSENDALE MIU & OOH,NHS ENGLAND NORTH WEST,1261,0,2,0,0,0
2025-07,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,16564,10909,3606,3523,309,1
2025-07,ROYAL CORNWALL HOSPITALS NHS TRUST,NHS ENGLAND SOUTH WEST,21203,7303,3782,2993,527,178
2025-07,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,18316,13593,5424,5405,819,131
2025-07,ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,43185,26648,8970,8269,1294,1638
2025-07,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NHS ENGLAND LONDON,0,0,0,0,0,0
2025-07,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,8495,6644,2116,2116,393,1
2025-07,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,8845,8845,3291,3291,655,51
2025-07,SALISBURY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,7032,4923,1816,1816,341,23
2025-07,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,21151,11564,4434,4112,538,55
2025-07,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,4767,4528,271,271,10,0
2025-07,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,16707,10046,5105,4619,736,11
2025-07,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,17518,11574,4743,4398,650,95
2025-07,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,NHS ENGLAND MIDLANDS,3762,0,27,0,0,0
2025-07,SIRONA CARE & HEALTH,NHS ENGLAND SOUTH WEST,9521,0,261,0,0,0
2025-07,SKELMERSDALE WALK IN CENTRE,NHS ENGLAND NORTH WEST,1718,0,11,0,0,0
2025-07,SLEAFORD MEDICAL GROUP,NHS ENGLAND MIDLANDS,439,0,0,0,0,0
2025-07,SOMERSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,23190,13096,5214,5040,258,75
2025-07,SOUTH BIRMINGHAM GP WALK IN CENTRE,NHS ENGLAND MIDLANDS,5808,0,0,0,0,0
2025-07,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,17186,7414,4082,3533,297,10
2025-07,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,18666,11361,5030,4854,307,1
2025-07,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,8989,8491,1950,1950,305,28
2025-07,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,0,0,0,0
2025-07,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,2043,0,17,0,0,0
2025-07,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,12843,8736,2869,2697,393,443
2025-07,STATION PLAZA HEALTH CENTRE,NHS ENGLAND SOUTH EAST,1156,0,0,0,0,0
2025-07,STOCKPORT NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,9581,8416,3483,3423,829,172
2025-07,SUMMERFIELD URGENT CARE CENTRE,NHS ENGLAND MIDLANDS,3233,0,0,0,0,0
2025-07,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST,10680,10680,4184,4184,621,626
2025-07,SUSSEX COMMUNITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,12805,0,128,0,0,0
2025-07,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,11614,9015,4395,4384,741,337
2025-07,TETBURY HOSPITAL TRUST LTD,NHS ENGLAND SOUTH WEST,688,0,0,0,0,0
2025-07,THE CHRISTIE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,0,0,0,0,0,0
2025-07,THE DUDLEY GROUP NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,14337,10391,3235,3165,1955,96
2025-07,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,13231,5966,2466,2361,335,24
2025-07,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,20803,12588,4305,4243,407,28
2025-07,THE PINN UNREGISTERED WIC,NHS ENGLAND LONDON,872,0,0,0,0,0
2025-07,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NHS ENGLAND EAST OF ENGLAND,10640,8719,3463,3463,391,142
2025-07,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NHS ENGLAND EAST OF ENGLAND,8169,7060,3382,3382,444,125
2025-07,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,0,0,0,0,0,0
2025-07,THE ROTHERHAM NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,9264,9264,2660,2660,357,17
2025-07,THE ROYAL WOLVERHAMPTON NHS TRUST,NHS ENGLAND MIDLANDS,20531,13276,3835,3728,1050,290
2025-07,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS,13576,11091,6402,6049,479,1407
2025-07,THE WALTON CENTRE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,0,0,0,0,0,0
2025-07,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,10682,6948,2805,2759,215,37
2025-07,TROWBRIDGE MINOR INJURIES UNIT,NHS ENGLAND SOUTH WEST,1079,0,2,0,0,0
2025-07,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,21307,17265,7805,7421,1059,1027
2025-07,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,12771,12771,3636,3636,216,49
2025-07,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,13687,12292,5339,5204,336,20
2025-07,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,38370,36112,13824,13748,2995,1376
2025-07,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,18368,15810,5172,5015,903,161
2025-07,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS ENGLAND MIDLANDS,19883,12559,5140,4969,75,17
2025-07,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,20367,15124,5821,5821,624,67
2025-07,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,29129,19187,8794,8794,989,716
2025-07,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS ENGLAND MIDLANDS,23097,21007,8159,8008,1242,629
2025-07,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,12892,9813,3570,3502,653,276
2025-07,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS ENGLAND MIDLANDS,23910,14974,7025,6948,1182,371
