day_type,hour_of_day,station,departures,arrivals,net_flow
Weekday,0,"Abbey Orchard Street, Westminster",9,13,4
Weekday,0,"Abbotsbury Road, Holland Park",0,6,6
Weekday,0,"Aberdeen Place, St. John's Wood",1,2,1
Weekday,0,"Aberfeldy Street, Poplar",2,8,6
Weekday,0,"Abingdon Green, Westminster",6,6,0
Weekday,0,"Abingdon Villas, Kensington",0,3,3
Weekday,0,"Ackroyd Drive, Bow",12,27,15
Weekday,0,"Ada Street, Hackney Central",11,13,2
Weekday,0,"Addison Road, Holland Park",0,2,2
Weekday,0,"Adeline Place, Bloomsbury",12,5,-7
Weekday,0,"Agar Grove, Camden Town",4,10,6
Weekday,0,"Aintree Street, Fulham",4,14,10
Weekday,0,"Albany Street, The Regent's Park",5,17,12
Weekday,0,"Albert Bridge Road, Battersea Park",1,3,2
Weekday,0,"Albert Embankment, Vauxhall",8,6,-2
Weekday,0,"Albert Gardens, Stepney",9,35,26
Weekday,0,"Albert Gate, Hyde Park",8,4,-4
Weekday,0,"Albert Square, Stockwell",10,16,6
Weekday,0,"Albert Street, Camden Town",9,16,7
Weekday,0,"Alderney Street, Pimlico",13,10,-3
Weekday,0,"Aldersgate Street, Barbican",5,9,4
Weekday,0,"Alfreda Street, Battersea Park",6,9,3
Weekday,0,"All Saints Church, Portobello",3,8,5
Weekday,0,"All Saints' Road, Portobello",2,5,3
Weekday,0,"Allington Street, Victoria",22,6,-16
Weekday,0,"Alma Road, Wandsworth",3,6,3
Weekday,0,"Alpha Grove, Millwall",0,14,14
Weekday,0,"Ampton Street , Clerkenwell",11,10,-1
Weekday,0,"Ansell House, Stepney",17,19,2
Weekday,0,"Antill Road, Mile End",4,13,9
Weekday,0,"Aquatic Centre, Queen Elizabeth Olympic Park",18,18,0
Weekday,0,"Archbishop's Park, Waterloo",3,14,11
Weekday,0,"Argyle Street, Kings Cross",50,15,-35
Weekday,0,"Argyll Road, Kensington",5,0,-5
Weekday,0,"Arlington Road, Camden Town",1,2,1
Weekday,0,"Arundel Street, Temple",5,1,-4
Weekday,0,"Ashley Crescent, Battersea",0,4,4
Weekday,0,"Ashley Place, Victoria",11,4,-7
Weekday,0,"Ashmole Estate, Oval",3,13,10
Weekday,0,"Aston Street, Stepney",5,25,20
Weekday,0,"Austin Road, Battersea Park",2,7,5
Weekday,0,"Aylward Street, Stepney",2,27,25
Weekday,0,"BBC White City, White City",8,17,9
Weekday,0,"Baker Street, Marylebone",5,2,-3
Weekday,0,"Baldwin Street, St. Luke's",19,7,-12
Weekday,0,"Bancroft Road, Bethnal Green",4,26,22
Weekday,0,"Bank of England Museum, Bank",5,4,-1
Weekday,0,"Bankside Mix, Bankside",7,5,-2
Weekday,0,"Barbican Centre, Barbican",2,0,-2
Weekday,0,"Barons Court Station, West Kensington",10,13,3
Weekday,0,"Bath Street, St. Luke's",13,11,-2
Weekday,0,"Battersea Church Road, Battersea",1,12,11
Weekday,0,"Battersea Park Road, Nine Elms",24,46,22
Weekday,0,"Battersea Power Station, Battersea Park",19,10,-9
Weekday,0,"Baylis Road, Waterloo",41,25,-16
Weekday,0,"Bayswater Road, Hyde Park",16,14,-2
Weekday,0,"Beaumont Street, Marylebone",3,5,2
Weekday,0,"Bedford Way, Bloomsbury",6,4,-2
Weekday,0,"Belford House, Haggerston",1,10,9
Weekday,0,"Belgrave Road, Victoria",16,9,-7
Weekday,0,"Belgrave Square, Belgravia",17,3,-14
Weekday,0,"Bell Lane, Liverpool Street",27,11,-16
Weekday,0,"Bell Street , Marylebone",9,20,11
Weekday,0,"Belvedere Road 1, South Bank",14,4,-10
Weekday,0,"Belvedere Road 2, South Bank",14,4,-10
Weekday,0,"Bermondsey Station, Bermondsey",6,18,12
Weekday,0,"Bermondsey Street, Bermondsey",9,14,5
Weekday,0,"Berry Street, Clerkenwell",13,5,-8
Weekday,0,"Beryl Road, Hammersmith",21,6,-15
Weekday,0,"Bethnal Green Garden, Bethnal Green",16,15,-1
Weekday,0,"Bethnal Green Road, Shoreditch",43,13,-30
Weekday,0,"Bevington Road West, North Kensington",12,12,0
Weekday,0,"Binfield Road, Stockwell",35,24,-11
Weekday,0,"Birkenhead Street, King's Cross",30,13,-17
Weekday,0,"Bishop's Avenue, Fulham",3,8,5
Weekday,0,"Bishop's Bridge Road East, Bayswater",5,8,3
Weekday,0,"Bishop's Bridge Road West, Bayswater",10,11,1
Weekday,0,"Black Lion Gate, Kensington Gardens",0,4,4
Weekday,0,"Black Prince Road, Vauxhall",7,14,7
Weekday,0,"Blackfriars Road, Southwark",17,7,-10
Weekday,0,"Blackfriars Station, St. Paul's",9,3,-6
Weekday,0,"Blenheim Crescent, Ladbroke Grove",1,1,0
Weekday,0,"Blythe Road West, Shepherd's Bush",5,16,11
Weekday,0,"Blythe Road, Olympia",4,17,13
Weekday,0,"Bolsover Street, Fitzrovia",2,10,8
Weekday,0,"Bonner Gate, Victoria Park",6,12,6
Weekday,0,"Bonny Street, Camden Town",9,36,27
Weekday,0,"Borough High Street, The Borough",23,11,-12
Weekday,0,"Borough Road, Elephant & Castle",3,13,10
Weekday,0,"Boston Place, Marylebone",6,3,-3
Weekday,0,"Bourne Street, Belgravia",4,4,0
Weekday,0,"Bow Church Station, Bow",9,30,21
Weekday,0,"Bow Road Station, Bow",24,21,-3
Weekday,0,"Braham Street, Aldgate",24,14,-10
Weekday,0,"Bramham Gardens, Earl's Court",10,13,3
Weekday,0,"Brandon Street, Walworth",5,18,13
Weekday,0,"Breams Buildings, Holborn",2,1,-1
Weekday,0,"Brick Lane Market, Shoreditch",12,7,-5
Weekday,0,"Bricklayers Arms, Borough",9,19,10
Weekday,0,"Bridge Avenue, Hammersmith",7,16,9
Weekday,0,"British Museum, Bloomsbury",8,6,-2
Weekday,0,"Broadcasting House, Marylebone",3,0,-3
Weekday,0,"Broadley Terrace, Marylebone",2,5,3
Weekday,0,"Broadwick Street, Soho",18,6,-12
Weekday,0,"Bromley High Street, Bow",3,4,1
Weekday,0,"Brook Green South, Brook Green",6,3,-3
Weekday,0,"Broomhouse Lane, Parsons Green",1,2,1
Weekday,0,"Brunswick Square, Bloomsbury",5,6,1
Weekday,0,"Brushfield Street, Liverpool Street",8,7,-1
Weekday,0,"Bruton Street, Mayfair",5,0,-5
Weekday,0,"Buckingham Gate, Westminster",6,10,4
Weekday,0,"Bucknall Street, Covent Garden",11,5,-6
Weekday,0,"Bunhill Row, Moorgate",3,4,1
Weekday,0,"Burdett Road, Mile End",5,17,12
Weekday,0,"Burgess Park Albany Road, Walworth",6,16,10
Weekday,0,"Bury Place, Holborn",5,1,-4
Weekday,0,"Butler Place, Westminster",3,1,-2
Weekday,0,"Buxton Street 1, Shoreditch",1,5,4
Weekday,0,"Cadogan Close, Victoria Park",6,10,4
Weekday,0,"Cadogan Gardens, Chelsea",12,9,-3
Weekday,0,"Cadogan Place, Knightsbridge",3,1,-2
Weekday,0,"Caldwell Street, Stockwell",9,19,10
Weekday,0,"Calshot Street , King's Cross",4,15,11
Weekday,0,"Camley Street, Camden Town",3,9,6
Weekday,0,"Campden Hill Road, Notting Hill",1,2,1
Weekday,0,"Canada Water Station, Rotherhithe",20,16,-4
Weekday,0,"Canton Street, Poplar",8,21,13
Weekday,0,"Cantrell Road, Bow",5,9,4
Weekday,0,"Carey Street, Holborn",5,1,-4
Weekday,0,"Carnegie Street, King's Cross",10,10,0
Weekday,0,"Cartwright Gardens , Bloomsbury",8,31,23
Weekday,0,"Castlehaven Road, Camden Town",15,23,8
Weekday,0,"Central House, Aldgate",27,24,-3
Weekday,0,"Cephas Street, Bethnal Green",10,29,19
Weekday,0,"Chadwell Street, Angel",8,5,-3
Weekday,0,"Chapel Place, Marylebone",3,1,-2
Weekday,0,"Charing Cross Hospital, Hammersmith",19,8,-11
Weekday,0,"Charlbert Street, St. John's Wood",2,9,7
Weekday,0,"Charles II Street, West End",9,6,-3
Weekday,0,"Charlotte Street, Fitzrovia",3,4,1
Weekday,0,"Charlotte Terrace, Angel",1,3,2
Weekday,0,"Cheapside, Bank",6,8,2
Weekday,0,"Chelsea Bridge, Pimlico",7,11,4
Weekday,0,"Chelsea Green, Chelsea",6,8,2
Weekday,0,"Chepstow Villas, Notting Hill",5,12,7
Weekday,0,"Cheshire Street, Bethnal Green",10,14,4
Weekday,0,"Chesilton Road, Fulham",4,8,4
Weekday,0,"Chicheley Street, South Bank",15,18,3
Weekday,0,"Chrisp Street Market, Poplar",11,13,2
Weekday,0,"Christian Street, Whitechapel",8,32,24
Weekday,0,"Christopher Street, Liverpool Street",19,10,-9
Weekday,0,"City Road, Angel",23,8,-15
Weekday,0,"Clapham Common North Side, Clapham Common",6,18,12
Weekday,0,"Clapham Common Station, Clapham Common",27,15,-12
Weekday,0,"Clapham Road, Lingham Street, Stockwell",4,6,2
Weekday,0,"Clapham South, Clapham South",3,7,4
Weekday,0,"Claremont Square, Angel",14,7,-7
Weekday,0,"Clarence Walk, Stockwell",1,6,5
Weekday,0,"Clarendon Road, Avondale",4,14,10
Weekday,0,"Clarges Street, Mayfair",3,0,-3
Weekday,0,"Clarkson Street, Bethnal Green",4,12,8
Weekday,0,"Claverton Street, Pimlico",9,26,17
Weekday,0,"Cleaver Street, Kennington",2,11,9
Weekday,0,"Clements Road, Bermondsey",4,11,7
Weekday,0,"Clerkenwell Green, Clerkenwell",15,13,-2
Weekday,0,"Cleveland Gardens, Bayswater",6,9,3
Weekday,0,"Cleveland Way, Stepney",41,80,39
Weekday,0,"Clifford Street, Mayfair",3,1,-2
Weekday,0,"Clifton Road, Maida Vale",3,11,8
Weekday,0,"Clifton Street, Shoreditch",1,1,0
Weekday,0,"Clinton Road, Mile End",21,14,-7
Weekday,0,"Cloudesley Road, Angel",3,5,2
Weekday,0,"Colet Gardens, Hammersmith",4,1,-3
Weekday,0,"Collingham Gardens, Earl's Court",3,4,1
Weekday,0,"Colombo Street, Southwark",1,3,2
Weekday,0,"Columbia Road, Shoreditch",3,18,15
Weekday,0,"Commercial Street, Shoreditch",9,5,-4
Weekday,0,"Concert Hall Approach, South Bank",11,6,-5
Weekday,0,"Coomer Place, West Kensington",10,11,1
Weekday,0,"Copper Box Arena, Queen Elizabeth Olympic Park",7,17,10
Weekday,0,"Coram Street, Bloomsbury",10,9,-1
Weekday,0,"Cotton Garden Estate, Kennington",2,23,21
Weekday,0,"Courland Grove, Wandsworth Road",8,12,4
Weekday,0,"Crabtree Lane, Fulham",4,9,5
Weekday,0,"Cranmer Road, Stockwell",15,18,3
Weekday,0,"Craven Street, Strand",42,13,-29
Weekday,0,"Crawford Street, Marylebone",17,13,-4
Weekday,0,"Crimscott Street, Bermondsey",12,9,-3
Weekday,0,"Crinan Street, King's Cross",3,2,-1
Weekday,0,"Crisp Road, Hammersmith",3,5,2
Weekday,0,"Cromer Street, Bloomsbury",37,18,-19
Weekday,0,"Crosswall, Tower",4,5,1
Weekday,0,"Culvert Road, Battersea",4,15,11
Weekday,0,"Curlew Street, Shad Thames",35,25,-10
Weekday,0,"Curzon Street, Mayfair",6,1,-5
Weekday,0,"Danvers Street, West Chelsea",1,6,5
Weekday,0,"De Vere Gardens, Kensington",5,4,-1
Weekday,0,"Denyer Street, Knightsbridge",3,4,1
Weekday,0,"Derry Street, Kensington",6,1,-5
Weekday,0,"Devons Road, Bow",6,26,20
Weekday,0,"Devonshire Terrace, Bayswater",6,15,9
Weekday,0,"Dickens Square, Borough",5,19,14
Weekday,0,"Disraeli Road, Putney",1,8,7
Weekday,0,"Dock Street, Wapping",16,7,-9
Weekday,0,"Doddington Grove, Kennington",4,28,24
Weekday,0,"Doric Way , Somers Town",17,20,3
Weekday,0,"Dorothy Road, Clapham Junction",11,5,-6
Weekday,0,"Dorset Square, Marylebone",11,8,-3
Weekday,0,"Drayton Gardens, West Chelsea",16,20,4
Weekday,0,"Driffield Road, Old Ford",7,14,7
Weekday,0,"Drummond Street , Euston",8,4,-4
Weekday,0,"Drury Lane, Covent Garden",14,8,-6
Weekday,0,"Duke Street Hill, London Bridge",29,21,-8
Weekday,0,"Dunston Road , Haggerston",7,21,14
Weekday,0,"Durant Street, Bethnal Green",11,10,-1
Weekday,0,"Eagle Wharf Road, Hoxton",3,13,10
Weekday,0,"East Ferry Road, Cubitt Town",5,10,5
Weekday,0,"East India DLR, Blackwall",3,14,11
Weekday,0,"East Road, Hoxton",14,10,-4
Weekday,0,"East Village, Queen Elizabeth Olympic Park",12,7,-5
Weekday,0,"Eastbourne Mews, Paddington",12,10,-2
Weekday,0,"Eaton Square (South), Belgravia",6,1,-5
Weekday,0,"Eaton Square, Belgravia",7,0,-7
Weekday,0,"Ebury Bridge, Pimlico",4,12,8
Weekday,0,"Eccleston Place, Victoria",18,4,-14
Weekday,0,"Eel Brook Common, Walham Green",1,5,4
Weekday,0,"Elgin Avenue, Maida Hill",5,11,6
Weekday,0,"Elizabeth Bridge, Victoria",16,14,-2
Weekday,0,"Elysium Place, Fulham",2,1,-1
Weekday,0,"Embankment (Savoy), Strand",38,3,-35
Weekday,0,"Emperor's Gate, South Kensington",21,22,1
Weekday,0,"Empire Square, The Borough",23,16,-7
Weekday,0,"Endsleigh Gardens, Euston",58,7,-51
Weekday,0,"Erin Close, Walham Green",6,11,5
Weekday,0,"Esmond Street, Putney",0,1,1
Weekday,0,"Ethelburga Estate, Battersea Park",4,19,15
Weekday,0,"Euston Road, Euston",24,11,-13
Weekday,0,"Euston Square Gardens, Euston",32,5,-27
Weekday,0,"Everington Street, Fulham",1,16,15
Weekday,0,"Eversholt Street , Camden Town",8,15,7
Weekday,0,"Evesham Street, Avondale",5,4,-1
Weekday,0,"Exhibition Road Museums 1, South Kensington",6,1,-5
Weekday,0,"Exhibition Road, Knightsbridge",12,16,4
Weekday,0,"Falcon Road, Clapham Junction",22,8,-14
Weekday,0,"Falkirk Street, Hoxton",3,13,10
Weekday,0,"Fanshaw Street, Hoxton",12,21,9
Weekday,0,"Farm Street, Mayfair",2,1,-1
Weekday,0,"Farringdon Lane, Clerkenwell",9,8,-1
Weekday,0,"Farringdon Street, Holborn",1,3,2
Weekday,0,"Fashion Street, Whitechapel",18,8,-10
Weekday,0,"Fawcett Close, Battersea",0,12,12
Weekday,0,"Felsham Road, Putney",3,2,-1
Weekday,0,"Ferndale Road, Brixton",18,5,-13
Weekday,0,"Finlay Street, Fulham",5,13,8
Weekday,0,"Finnis Street, Bethnal Green",2,5,3
Weekday,0,"Finsbury Circus, Liverpool Street",6,0,-6
Weekday,0,"Finsbury Leisure Centre, St. Luke's",15,28,13
Weekday,0,"Finsbury Library , Finsbury",5,5,0
Weekday,0,"Finsbury Square , Moorgate",4,5,1
Weekday,0,"Fire Brigade Pier, Vauxhall",5,2,-3
Weekday,0,"Fisherman's Walk West, Canary Wharf",10,2,-8
Weekday,0,"Flamborough Street, Limehouse",23,31,8
Weekday,0,"Flood Street, Chelsea",8,11,3
Weekday,0,"Foley Street, Fitzrovia",7,6,-1
Weekday,0,"Ford Road, Old Ford",4,15,11
Weekday,0,"Fore Street, Guildhall",3,2,-1
Weekday,0,"Fournier Street, Whitechapel",7,8,1
Weekday,0,"Frampton Street, Paddington",6,10,4
Weekday,0,"Freston Road, Avondale",1,0,-1
Weekday,0,"Frith Street, Soho",26,9,-17
Weekday,0,"Fulham Broadway, Walham Green",25,13,-12
Weekday,0,"Fulham Park Road, Fulham",2,11,9
Weekday,0,"Furze Green, Bow",10,29,19
Weekday,0,"Garnet Street, Shadwell",4,12,8
Weekday,0,"Gas Holders, Battersea Park",32,28,-4
Weekday,0,"Gascoyne Road, Victoria Park",8,12,4
Weekday,0,"Gauden Road, Clapham",6,7,1
Weekday,0,"Gaywood  Street, Elephant & Castle",2,26,24
Weekday,0,"George Place Mews, Marylebone",10,7,-3
Weekday,0,"George Row, Bermondsey",7,16,9
Weekday,0,"George Street, Marylebone",1,3,2
Weekday,0,"Geraldine Street, Elephant & Castle",2,4,2
Weekday,0,"Globe Town Market, Bethnal Green",8,29,21
Weekday,0,"Gloucester Avenue, Camden Town",2,6,4
Weekday,0,"Gloucester Road (Central), South Kensington",15,5,-10
Weekday,0,"Gloucester Road (North), Kensington",8,7,-1
Weekday,0,"Gloucester Road Station, South Kensington",16,9,-7
Weekday,0,"Gloucester Street, Pimlico",11,17,6
Weekday,0,"Gloucester Terrace, Bayswater",5,9,4
Weekday,0,"Godliman Street, St. Paul's",4,2,-2
Weekday,0,"Golden Lane, Barbican",6,2,-4
Weekday,0,"Golden Square, Soho",10,8,-2
Weekday,0,"Goldsmith's Row, Haggerston",7,8,1
Weekday,0,"Good's Way, King's Cross",11,4,-7
Weekday,0,"Goswell Road (City Uni), Finsbury",29,14,-15
Weekday,0,"Gower Place , Euston",11,8,-3
Weekday,0,"Grafton Street, Mayfair",5,1,-4
Weekday,0,"Graham Street, Angel",7,10,3
Weekday,0,"Granby Street, Shoreditch",39,18,-21
Weekday,0,"Grant Road East, Clapham Junction",10,11,1
Weekday,0,"Great Dover Street, The Borough",9,63,54
Weekday,0,"Great Percy Street, Clerkenwell",2,13,11
Weekday,0,"Great Russell Street, Bloomsbury",6,3,-3
Weekday,0,"Great Suffolk Street, The Borough",1,10,9
Weekday,0,"Great Titchfield Street, Fitzrovia",8,5,-3
Weekday,0,"Great Tower Street, Monument",4,1,-3
Weekday,0,"Green Park Station, Mayfair",11,6,-5
Weekday,0,"Green Street, Mayfair",7,3,-4
Weekday,0,"Greenberry Street, St.John's Wood",0,4,4
Weekday,0,"Greenland Road, Camden Town",20,17,-3
Weekday,0,"Grenfell Road, Avondale",1,3,2
Weekday,0,"Greycoat Street , Westminster",0,8,8
Weekday,0,"Greyhound Road, Hammersmith",7,25,18
Weekday,0,"Grosvenor Crescent, Belgravia",15,0,-15
Weekday,0,"Grosvenor Road, Pimlico",2,24,22
Weekday,0,"Grosvenor Square, Mayfair",4,2,-2
Weekday,0,"Grove End Road, St. John's Wood",2,4,2
Weekday,0,"Guildhouse Street, Victoria",1,6,5
Weekday,0,"Guilford Street , Bloomsbury",25,10,-15
Weekday,0,"Gunmakers Lane, Old Ford",3,5,2
Weekday,0,"Gwendwr Road, West Kensington",2,24,22
Weekday,0,"Haggerston Road, Haggerston",13,8,-5
Weekday,0,"Halford Road, West Kensington",4,3,-1
Weekday,0,"Hammersmith Road, Hammersmith",25,16,-9
Weekday,0,"Hampstead Road, Euston",20,19,-1
Weekday,0,"Hampton Street, Walworth",12,9,-3
Weekday,0,"Handyside Street, King's Cross",3,9,6
Weekday,0,"Hansard Mews, Holland Park",9,13,4
Weekday,0,"Harcourt Terrace, West Brompton",6,25,19
Weekday,0,"Hardwick Street, Clerkenwell",4,11,7
Weekday,0,"Harford Street, Mile End",5,44,39
Weekday,0,"Harper Road, The Borough",4,1,-3
Weekday,0,"Harriet Street, Knightsbridge",3,2,-1
Weekday,0,"Harrington Square 1, Camden Town",18,17,-1
Weekday,0,"Harris Academy, Bermondsey",7,15,8
Weekday,0,"Harrowby Street, Marylebone",17,19,2
Weekday,0,"Hartington Road, Stockwell",0,5,5
Weekday,0,"Hatton Garden, Holborn",12,21,9
Weekday,0,"Hatton Wall, Holborn",9,18,9
Weekday,0,"Hawley Crescent, Camden Town",1,15,14
Weekday,0,"Heath Road, Battersea",0,2,2
Weekday,0,"Here East North, Queen Elizabeth Olympic Park",4,7,3
Weekday,0,"Here East South, Queen Elizabeth Olympic Park",2,8,6
Weekday,0,"Hereford Road, Bayswater",8,15,7
Weekday,0,"Hermitage Court, Wapping",0,4,4
Weekday,0,"Heron Quays DLR, Canary Wharf",3,0,-3
Weekday,0,"Hertford Road, De Beauvoir Town",2,12,10
Weekday,0,"Hewison Street, Old Ford",4,25,21
Weekday,0,"Hibbert Street, Battersea",1,11,10
Weekday,0,"High Holborn , Covent Garden",5,1,-4
Weekday,0,"Hinde Street, Marylebone",4,1,-3
Weekday,0,"Holborn Circus, Holborn",9,10,1
Weekday,0,"Holden Street, Battersea",1,5,4
Weekday,0,"Holland Park, Kensington",2,4,2
Weekday,0,"Hollybush Gardens, Bethnal Green",4,4,0
Weekday,0,"Holy Trinity Brompton, Knightsbridge",17,2,-15
Weekday,0,"Hop Exchange, The Borough",25,9,-16
Weekday,0,"Horseferry Road, Westminster",6,20,14
Weekday,0,"Hortensia Road, West Brompton",8,17,9
Weekday,0,"Houghton Street, Strand",4,2,-2
Weekday,0,"Houndsditch, Aldgate",7,4,-3
Weekday,0,"Howick Place, Westminster",20,8,-12
Weekday,0,"Howland Street, Fitzrovia",15,15,0
Weekday,0,"Hoxton Station, Hoxton",13,21,8
Weekday,0,"Hoxton Street, Hoxton",2,7,5
Weekday,0,"Humbolt Road, Fulham",1,21,20
Weekday,0,"Hurlingham Park, Parsons Green",1,1,0
Weekday,0,"Hyde Park Corner, Hyde Park",13,7,-6
Weekday,0,"Ilchester Gardens, Bayswater",6,14,8
Weekday,0,"Ilchester Place, Kensington",3,0,-3
Weekday,0,"Imperial College, Knightsbridge",7,4,-3
Weekday,0,"Imperial Road, Sands End",4,28,24
Weekday,0,"Imperial Wharf Station, Sands End",3,14,11
Weekday,0,"Import Dock, Canary Wharf",3,0,-3
Weekday,0,"Ingrave Street, Clapham Junction",0,3,3
Weekday,0,"Irene Road, Parsons Green",7,4,-3
Weekday,0,"Islington Green, Angel",27,15,-12
Weekday,0,"Jewry Street, Aldgate",6,3,-3
Weekday,0,"Jubilee Crescent, Cubitt Town",3,15,12
Weekday,0,"Jubilee Plaza, Canary Wharf",25,6,-19
Weekday,0,"Jubilee Street, Stepney",2,61,59
Weekday,0,"Kennington Cross, Kennington",8,20,12
Weekday,0,"Kennington Lane Rail Bridge, Vauxhall",19,17,-2
Weekday,0,"Kennington Oval, Oval",3,20,17
Weekday,0,"Kennington Road Post Office, Oval",7,24,17
Weekday,0,"Kennington Road, Vauxhall",12,17,5
Weekday,0,"Kennington Station, Kennington",16,10,-6
Weekday,0,"Kensington Church Street, Kensington",7,0,-7
Weekday,0,"Kensington Gore, Knightsbridge",0,1,1
Weekday,0,"Kensington Olympia Station, Olympia",2,12,10
Weekday,0,"Kensington Town Hall, Kensington",1,2,1
Weekday,0,"Killick Street, King's Cross",2,1,-1
Weekday,0,"King Edward Street, St Pauls",1,0,-1
Weekday,0,"King Edward Walk, Waterloo",0,1,1
Weekday,0,"Kings Gate House, Westminster",3,2,-1
Weekday,0,"Kingsway Southbound, Strand",9,0,-9
Weekday,0,"Kingsway, Covent Garden",5,1,-4
Weekday,0,"Knaresborough Place, Earl's Court",5,10,5
Weekday,0,"Knightsbridge, Hyde Park",12,2,-10
Weekday,0,"LMU Commercial Road, Whitechapel",29,18,-11
Weekday,0,"LSBU (Borough Road), Elephant & Castle",4,29,25
Weekday,0,"Ladbroke Grove Central, Ladbroke Grove",2,0,-2
Weekday,0,"Lambeth North Station, Waterloo",17,8,-9
Weekday,0,"Lambeth Palace Road, Waterloo",25,22,-3
Weekday,0,"Lambeth Road, Vauxhall",1,8,7
Weekday,0,"Lancaster Drive, Blackwall",0,1,1
Weekday,0,"Lancaster Gate , Bayswater",4,19,15
Weekday,0,"Langdon Park, Poplar",3,5,2
Weekday,0,"Lansdowne Drive, Hackney Central",2,3,1
Weekday,0,"Lansdowne Road, Ladbroke Grove",6,3,-3
Weekday,0,"Lavington Street, Bankside",6,0,-6
Weekday,0,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",2,6,4
Weekday,0,"Leman Street, Aldgate",9,15,6
Weekday,0,"Leonard Circus , Shoreditch",17,7,-10
Weekday,0,"Lexham Gardens, Kensington",9,13,4
Weekday,0,"Lightermans Road, Millwall",3,10,7
Weekday,0,"Limburg Road, Clapham Junction",0,4,4
Weekday,0,"Limerston Street, West Chelsea",11,18,7
Weekday,0,"Lincoln's Inn Fields, Holborn",7,2,-5
Weekday,0,"Lindfield Street, Poplar",5,31,26
Weekday,0,"Lisson Grove, St. John's Wood",2,16,14
Weekday,0,"Little Argyll Street, West End",16,8,-8
Weekday,0,"Little Brook Green, Brook Green",6,6,0
Weekday,0,"Liverpool Road (N1 Centre), Angel",13,6,-7
Weekday,0,"Lollard Street, Vauxhall",3,8,5
Weekday,0,"London Fields, Hackney Central",16,26,10
Weekday,0,"London Street, Paddington",48,26,-22
Weekday,0,"London Zoo Car Park, The Regent's Park",1,0,-1
Weekday,0,"London Zoo,  The Regent's Park",0,2,2
Weekday,0,"Long Lane , Bermondsey",3,26,23
Weekday,0,"Longford Street, The Regent's Park",3,4,1
Weekday,0,"Lord's, St. John's Wood",2,1,-1
Weekday,0,"Lots Road, West Chelsea",3,5,2
Weekday,0,"Lower Marsh, Waterloo",11,4,-7
Weekday,0,"Lower Thames Street, Monument",18,2,-16
Weekday,0,"Macclesfield Rd, St Lukes",25,19,-6
Weekday,0,"Maida Vale, Maida Vale",6,29,23
Weekday,0,"Malet Street, Bloomsbury",7,6,-1
Weekday,0,"Mallory Street, Marylebone",2,8,6
Weekday,0,"Malmesbury Road, Bow",12,18,6
Weekday,0,"Manbre Road, Hammersmith",3,4,1
Weekday,0,"Manresa Road, Chelsea",9,12,3
Weekday,0,"Maplin Street, Mile End",37,22,-15
Weekday,0,"Margery Street, Clerkenwell",8,21,13
Weekday,0,"Marloes Road, Kensington",2,7,5
Weekday,0,"Marylebone Lane, Marylebone",6,12,6
Weekday,0,"Merchant Street, Bow",6,6,0
Weekday,0,"Mexfield Road, East Putney",0,1,1
Weekday,0,"Michael Road, Walham Green",7,8,1
Weekday,0,"Mile End Park Leisure Centre, Mile End",2,19,17
Weekday,0,"Mile End Stadium, Mile End",5,22,17
Weekday,0,"Millbank Tower, Pimlico",3,4,1
Weekday,0,"Millennium Hotel, Mayfair",7,1,-6
Weekday,0,"Millharbour, Millwall",0,8,8
Weekday,0,"Milroy Walk, South Bank",12,0,-12
Weekday,0,"Monier Road, Hackney Wick",5,34,29
Weekday,0,"Montpelier Street, Knightsbridge",10,2,-8
Weekday,0,"Montserrat Road , Putney",2,1,-1
Weekday,0,"Monument Street, Monument",11,11,0
Weekday,0,"Moor Street, Soho",30,16,-14
Weekday,0,"Moorfields, Moorgate",5,2,-3
Weekday,0,"Morie Street, Wandsworth",1,2,1
Weekday,0,"Mostyn Grove, Bow",3,27,24
Weekday,0,"Mudchute DLR, Cubitt Town",4,3,-1
Weekday,0,"Murray Grove , Hoxton",3,27,24
Weekday,0,"Museum of London, Barbican",5,1,-4
Weekday,0,"Napier Avenue, Millwall",3,5,2
Weekday,0,"Natural History Museum, South Kensington",3,4,1
Weekday,0,"Naval Row, Blackwall",1,8,7
Weekday,0,"Nesham Street, Wapping",3,11,8
Weekday,0,"Nevern Place, Earl's Court",9,15,6
Weekday,0,"Neville Gill Close, Wandsworth",1,8,7
Weekday,0,"New Cavendish Street, Marylebone",6,3,-3
Weekday,0,"New Fetter Lane, Holborn",3,1,-2
Weekday,0,"New Globe Walk, Bankside",6,2,-4
Weekday,0,"New Inn Yard, Shoreditch",11,5,-6
Weekday,0,"New Kent Road, The Borough",6,19,13
Weekday,0,"New North Road 2, Hoxton",2,2,0
Weekday,0,"New Road 1 , Whitechapel",56,28,-28
Weekday,0,"New Spring Gardens Walk, Vauxhall",21,11,-10
Weekday,0,"Newby Place, Poplar",2,3,1
Weekday,0,"Newgate Street , St. Paul's",1,0,-1
Weekday,0,"Newton Street, Covent Garden",10,2,-8
Weekday,0,"Normand Park, West Kensington",3,8,5
Weekday,0,"Normandy Road, Stockwell",5,15,10
Weekday,0,"North Audley Street, Mayfair",4,0,-4
Weekday,0,"North Wharf Road, Paddington",5,4,-1
Weekday,0,"Northdown Street, King's Cross",14,9,-5
Weekday,0,"Northfields, Wandsworth",0,2,2
Weekday,0,"Northington Street , Holborn",8,5,-3
